Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
26,,2022-12-10,24-164,DEN,,UTA,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2022-12-14,24-168,DEN,,WAS,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2022-12-16,24-170,DEN,@,LAL,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2022-12-18,24-172,DEN,,CHO,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2022-12-20,24-174,DEN,,MEM,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,17,2022-12-23,24-177,DEN,,POR,W (+13),1,26:59,7,13,.538,2,6,.333,2,3,.667,1,4,5,2,1,0,1,2,18,13.8,+1
32,18,2022-12-25,24-179,DEN,,PHO,W (+3),1,34:52,3,11,.273,0,5,.000,1,2,.500,0,8,8,0,1,1,0,4,7,2.6,+11
33,19,2022-12-27,24-181,DEN,@,SAC,W (+7),1,29:34,12,20,.600,5,9,.556,1,2,.500,1,5,6,2,2,0,2,3,30,22.8,+14
34,20,2022-12-28,24-182,DEN,@,SAC,L (-1),1,34:40,6,12,.500,4,8,.500,3,3,1.000,1,6,7,1,0,3,4,2,19,13.5,0
35,21,2022-12-30,24-184,DEN,,MIA,W (+5),1,25:20,4,11,.364,0,3,.000,2,4,.500,1,5,6,3,1,0,0,1,10,8.0,-5
36,22,2023-01-01,24-186,DEN,,BOS,W (+12),1,32:36,7,13,.538,3,7,.429,2,2,1.000,0,4,4,2,0,1,3,1,19,12.6,+11
37,23,2023-01-02,24-187,DEN,@,MIN,L (-13),1,27:26,6,9,.667,4,6,.667,2,2,1.000,0,2,2,0,0,1,2,2,18,12.6,-4
38,24,2023-01-05,24-190,DEN,,LAC,W (+31),1,22:11,4,10,.400,1,5,.200,1,2,.500,0,5,5,0,0,0,1,1,10,4.3,+15
39,25,2023-01-06,24-191,DEN,,CLE,W (+13),1,32:54,5,13,.385,3,8,.375,3,4,.750,3,5,8,1,0,0,1,2,16,11.0,+13
40,26,2023-01-09,24-194,DEN,,LAL,W (+13),1,25:53,5,13,.385,2,6,.333,0,0,,2,5,7,0,1,1,0,2,12,8.7,+13
41,27,2023-01-11,24-196,DEN,,PHO,W (+29),1,22:43,4,9,.444,2,7,.286,1,2,.500,0,3,3,1,0,0,0,4,11,5.9,+20
42,28,2023-01-13,24-198,DEN,@,LAC,W (+12),1,31:55,9,17,.529,2,8,.250,2,2,1.000,1,3,4,3,1,1,1,1,22,17.7,+13
43,29,2023-01-15,24-200,DEN,,ORL,W (+3),1,28:00,6,13,.462,4,8,.500,0,0,,2,2,4,0,1,1,1,3,16,10.8,+1
