Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
59,,2023-02-15,27-152,DEN,,DAL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2023-02-23,27-160,DEN,@,CLE,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2023-02-25,27-162,DEN,@,MEM,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,50,2023-02-26,27-163,DEN,,LAC,W (+10),1,28:57,3,9,.333,0,5,.000,0,0,,0,6,6,6,0,0,2,6,6,2.5,+5
63,51,2023-02-28,27-165,DEN,@,HOU,W (+21),1,21:04,5,7,.714,0,0,,1,2,.500,2,5,7,5,0,0,0,1,11,13.7,+19
64,52,2023-03-03,27-168,DEN,,MEM,W (+16),1,28:11,5,10,.500,0,2,.000,3,3,1.000,4,1,5,0,0,0,0,3,13,9.9,+9
65,53,2023-03-06,27-171,DEN,,TOR,W (+5),1,29:44,7,12,.583,0,2,.000,5,6,.833,5,1,6,5,2,1,0,1,19,22.6,+13
66,54,2023-03-08,27-173,DEN,,CHI,L (-21),1,28:48,6,14,.429,1,3,.333,4,9,.444,6,3,9,2,0,1,0,0,17,14.8,-4
67,55,2023-03-10,27-175,DEN,@,SAS,L (-8),1,33:35,5,8,.625,2,5,.400,2,2,1.000,0,6,6,3,1,1,3,3,14,11.8,0
68,56,2023-03-12,27-177,DEN,,BRK,L (-2),1,29:24,5,9,.556,1,2,.500,2,3,.667,2,2,4,2,0,0,2,2,13,8.9,+13
69,57,2023-03-14,27-179,DEN,@,TOR,L (-15),1,34:22,8,13,.615,0,1,.000,2,6,.333,0,1,1,3,2,1,0,2,18,14.8,-10
70,58,2023-03-16,27-181,DEN,@,DET,W (+19),1,28:50,6,9,.667,0,1,.000,3,6,.500,5,3,8,1,0,0,1,0,15,14.0,+8
71,59,2023-03-18,27-183,DEN,@,NYK,L (-6),1,31:13,6,12,.500,0,2,.000,2,3,.667,1,4,5,7,1,0,1,3,14,13.2,+2
72,60,2023-03-19,27-184,DEN,@,BRK,W (+6),1,29:54,4,9,.444,0,3,.000,2,3,.667,1,3,4,2,0,1,1,1,10,7.2,+9
73,61,2023-03-22,27-187,DEN,@,WAS,W (+14),1,30:44,4,6,.667,2,3,.667,2,2,1.000,0,1,1,1,1,0,1,0,12,10.4,+28
74,62,2023-03-25,27-190,DEN,,MIL,W (+23),1,25:12,4,9,.444,1,5,.200,0,0,,1,6,7,1,1,1,1,3,9,7.0,+12
75,63,2023-03-27,27-192,DEN,,PHI,W (+5),1,24:18,6,14,.429,0,3,.000,0,0,,3,1,4,2,2,1,1,1,12,9.7,+20
76,64,2023-03-30,27-195,DEN,,NOP,L (-19),1,31:31,4,8,.500,0,0,,3,6,.500,2,4,6,4,0,0,1,4,11,8.6,-22
77,65,2023-03-31,27-196,DEN,@,PHO,L (-7),1,36:25,10,23,.435,2,4,.500,4,10,.400,5,3,8,6,2,1,2,0,26,20.8,
78,66,2023-04-02,27-198,DEN,,GSW,W (+2),1,38:56,6,18,.333,0,3,.000,1,2,.500,6,4,10,7,2,0,2,3,13,11.5,+9
79,67,2023-04-04,27-200,DEN,@,HOU,L (-21),1,32:39,6,11,.545,0,1,.000,1,4,.250,2,7,9,4,0,4,1,3,13,13.4,-18
80,,2023-04-06,27-202,DEN,@,PHO,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,68,2023-04-08,27-204,DEN,@,UTA,L (-4),1,28:28,6,10,.600,1,2,.500,2,3,.667,1,3,4,2,0,0,0,2,15,12.2,+1
82,,2023-04-09,27-205,DEN,,SAC,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
