Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
34,27,2022-12-25,32-320,GSW,,MEM,W (+14),1,39:47,8,25,.320,3,12,.250,5,5,1.000,4,5,9,4,0,0,0,3,24,15.6,+14
35,28,2022-12-27,32-322,GSW,,CHO,W (+5),1,38:33,10,22,.455,5,12,.417,4,5,.800,0,5,5,4,0,1,3,1,29,18.8,+11
36,,2022-12-28,32-323,GSW,,UTA,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,29,2022-12-30,32-325,GSW,,POR,W (+6),1,36:40,11,22,.500,7,15,.467,2,2,1.000,1,3,4,2,0,0,0,1,31,22.6,+8
38,30,2023-01-02,32-328,GSW,,ATL,W (+2),1,45:51,21,39,.538,10,21,.476,2,2,1.000,2,6,8,3,0,1,3,4,54,36.5,+13
39,31,2023-01-04,32-330,GSW,,DET,L (-3),1,34:04,11,23,.478,3,10,.300,5,5,1.000,0,2,2,3,0,1,0,3,30,20.5,0
40,,2023-01-07,32-333,GSW,,ORL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,32,2023-01-10,32-336,GSW,,PHO,L (-12),1,34:46,10,24,.417,6,14,.429,3,4,.750,4,1,5,0,1,0,3,3,29,15.7,-11
42,33,2023-01-13,32-339,GSW,@,SAS,W (+31),1,22:40,7,10,.700,2,3,.667,0,0,,0,3,3,4,0,0,1,3,16,13.3,+19
43,34,2023-01-15,32-341,GSW,@,CHI,L (-14),1,33:01,9,21,.429,8,15,.533,0,0,,1,3,4,4,0,0,1,0,26,18.3,-16
44,,2023-01-16,32-342,GSW,@,WAS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,35,2023-01-19,32-345,GSW,@,BOS,L (-3),1,36:03,8,16,.500,4,8,.500,4,4,1.000,0,2,2,1,2,1,3,6,24,14.6,+2
46,,2023-01-20,32-346,GSW,@,CLE,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,36,2023-01-22,32-348,GSW,,BRK,L (-4),1,33:46,4,17,.235,0,7,.000,2,2,1.000,0,2,2,1,0,0,0,4,10,-0.6,-21
48,37,2023-01-25,32-351,GSW,,MEM,W (+2),1,34:07,9,23,.391,5,10,.500,1,2,.500,2,1,3,3,1,0,2,3,24,12.7,+6
49,38,2023-01-27,32-353,GSW,,TOR,W (+12),1,37:52,11,24,.458,6,14,.429,1,1,1.000,1,7,8,1,1,0,1,1,29,19.7,+6
50,39,2023-01-30,32-356,GSW,@,OKC,W (+8),1,36:49,10,21,.476,6,14,.429,2,2,1.000,0,7,7,3,1,0,2,2,28,19.7,+4
