Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
44,27,2023-01-16,27-327,GSW,@,WAS,W (+9),1,31:45,6,15,.400,1,6,.167,1,1,1.000,0,3,3,4,0,0,1,4,14,7.0,-12
45,28,2023-01-19,27-330,GSW,@,BOS,L (-3),1,39:46,6,18,.333,3,8,.375,5,8,.625,2,2,4,3,1,4,2,3,20,13.3,-7
46,,2023-01-20,27-331,GSW,@,CLE,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,29,2023-01-22,27-333,GSW,,BRK,L (-4),1,26:47,2,9,.222,0,3,.000,0,0,,1,1,2,1,1,0,0,1,4,0.8,-4
48,,2023-01-25,27-336,GSW,,MEM,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2023-01-27,27-338,GSW,,TOR,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,30,2023-01-30,27-341,GSW,@,OKC,W (+8),1,32:15,7,13,.538,1,4,.250,0,0,,0,4,4,1,1,2,1,4,15,10.4,+10
51,31,2023-02-01,27-343,GSW,@,MIN,L (-5),1,35:07,7,13,.538,1,4,.250,1,2,.500,2,5,7,3,0,0,2,2,16,11.5,-8
52,32,2023-02-02,27-344,GSW,@,DEN,L (-17),1,31:18,3,14,.214,2,3,.667,1,3,.333,3,7,10,2,0,0,2,4,9,1.6,-13
53,33,2023-02-04,27-346,GSW,,DAL,W (+6),1,28:34,4,6,.667,0,1,.000,1,2,.500,0,0,0,1,0,0,3,2,9,2.9,+6
54,34,2023-02-06,27-348,GSW,,OKC,W (+27),1,31:56,8,15,.533,1,5,.200,1,2,.500,2,1,3,4,1,1,2,3,18,13.3,+25
55,35,2023-02-08,27-350,GSW,@,POR,L (-3),1,36:57,7,14,.500,2,3,.667,2,2,1.000,4,6,10,4,4,0,0,5,18,20.4,-2
