Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
66,40,2023-03-07,34-358,GSW,@,OKC,L (-9),1,35:28,14,23,.609,10,16,.625,2,2,1.000,1,5,6,7,0,0,6,4,40,29.0,-2
67,41,2023-03-09,34-360,GSW,@,MEM,L (-21),1,34:24,10,19,.526,4,8,.500,5,6,.833,3,4,7,4,1,0,4,3,29,21.2,+2
68,42,2023-03-11,34-362,GSW,,MIL,W (+9),1,43:24,13,27,.481,6,15,.400,4,4,1.000,1,5,6,4,2,1,5,1,36,24.6,+10
69,43,2023-03-13,34-364,GSW,,PHO,W (+11),1,33:28,7,13,.538,4,6,.667,5,6,.833,2,5,7,5,0,0,5,4,23,16.1,+14
70,44,2023-03-15,35-001,GSW,@,LAC,L (-8),1,38:32,20,28,.714,8,14,.571,2,4,.500,0,2,2,6,2,0,2,1,50,42.0,-11
71,45,2023-03-17,35-003,GSW,@,ATL,L (-8),1,37:18,12,27,.444,4,13,.308,3,3,1.000,2,4,6,5,0,0,6,2,31,16.2,-1
72,46,2023-03-18,35-004,GSW,@,MEM,L (-14),1,30:03,5,15,.333,3,8,.375,3,4,.750,1,7,8,5,0,0,1,1,16,12.0,-10
73,47,2023-03-20,35-006,GSW,@,HOU,W (+13),1,36:06,10,23,.435,5,15,.333,5,5,1.000,1,6,7,5,2,1,4,3,30,21.4,+5
74,48,2023-03-22,35-008,GSW,@,DAL,W (+2),1,34:42,9,18,.500,2,8,.250,0,0,,1,4,5,13,0,0,3,2,20,18.2,+10
75,49,2023-03-24,35-010,GSW,,PHI,W (+8),1,38:26,10,18,.556,2,7,.286,7,8,.875,0,8,8,3,0,0,2,2,29,21.7,+20
76,50,2023-03-26,35-012,GSW,,MIN,L (-3),1,36:12,8,23,.348,4,13,.308,0,0,,0,6,6,9,1,0,3,3,20,12.0,+2
77,51,2023-03-28,35-014,GSW,,NOP,W (+11),1,36:57,14,25,.560,8,15,.533,3,4,.750,2,6,8,8,3,0,4,0,39,34.5,+12
78,52,2023-03-31,35-017,GSW,,SAS,W (+15),1,32:43,11,21,.524,7,11,.636,4,4,1.000,1,1,2,5,0,0,1,1,33,25.8,-3
79,53,2023-04-02,35-019,GSW,@,DEN,L (-2),1,36:53,8,28,.286,2,14,.143,3,3,1.000,1,2,3,4,0,2,3,1,21,6.7,-5
80,54,2023-04-04,35-021,GSW,,OKC,W (+11),1,36:46,11,25,.440,6,13,.462,6,6,1.000,0,5,5,6,1,0,0,3,34,26.4,+14
81,55,2023-04-07,35-024,GSW,@,SAC,W (+22),1,32:41,8,14,.571,3,7,.429,6,7,.857,1,6,7,6,2,1,5,1,25,22.0,+33
82,56,2023-04-09,35-026,GSW,@,POR,W (+56),1,22:27,9,15,.600,5,10,.500,3,3,1.000,0,5,5,7,0,0,1,0,26,24.5,+26
