Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
57,41,2023-02-11,28-269,ATL,,SAS,W (+19),1,29:03,7,12,.583,0,0,,0,0,,6,6,12,1,0,3,0,1,14,16.8,+27
58,42,2023-02-13,28-271,ATL,@,CHO,L (-6),1,29:15,11,17,.647,0,0,,0,0,,5,2,7,3,1,0,1,2,22,19.9,+2
59,43,2023-02-15,28-273,ATL,,NYK,L (-21),1,25:46,5,8,.625,0,0,,0,0,,2,6,8,1,1,1,0,3,10,10.8,-15
60,44,2023-02-24,28-282,ATL,,CLE,W (+17),1,20:56,5,7,.714,0,0,,0,0,,0,4,4,2,0,3,1,4,10,9.2,+8
61,45,2023-02-26,28-284,ATL,,BRK,W (+2),1,19:29,2,6,.333,0,0,,2,6,.333,6,6,12,0,0,1,1,0,6,6.7,-16
62,46,2023-02-28,28-286,ATL,,WAS,L (-3),1,35:14,6,8,.750,0,0,,1,2,.500,6,9,15,3,2,3,0,2,13,21.7,+2
63,47,2023-03-03,28-289,ATL,,POR,W (+18),1,25:20,5,7,.714,0,0,,1,2,.500,4,8,12,3,1,1,1,0,11,15.7,-3
64,48,2023-03-04,28-290,ATL,@,MIA,L (-8),1,24:56,8,10,.800,0,0,,0,0,,5,8,13,0,1,1,0,3,16,18.6,-14
65,49,2023-03-06,28-292,ATL,@,MIA,L (-2),1,33:47,6,6,1.000,0,0,,0,2,.000,3,7,10,1,0,0,2,3,12,11.1,-6
66,50,2023-03-08,28-294,ATL,@,WAS,W (+2),1,25:27,4,7,.571,0,0,,5,6,.833,1,2,3,1,1,1,0,4,13,11.4,-2
67,51,2023-03-10,28-296,ATL,@,WAS,W (+7),1,29:26,4,10,.400,0,0,,0,0,,5,5,10,0,0,1,3,2,8,4.5,-5
68,52,2023-03-11,28-297,ATL,,BOS,L (-9),1,21:01,6,6,1.000,0,0,,0,0,,4,5,9,0,0,0,1,2,12,12.7,-20
69,53,2023-03-13,28-299,ATL,,MIN,L (-21),1,21:35,5,7,.714,0,0,,0,0,,5,5,10,0,1,2,0,0,10,14.5,-11
