Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
46,38,2023-01-20,25-119,ATL,,NYK,W (+15),1,35:22,7,8,.875,3,4,.750,0,0,,0,9,9,1,1,1,2,5,17,15.3,+25
47,39,2023-01-21,25-120,ATL,,CHO,L (-4),1,33:07,3,7,.429,1,4,.250,4,4,1.000,0,5,5,2,0,0,3,6,11,4.8,-9
48,40,2023-01-23,25-122,ATL,@,CHI,L (-11),1,35:44,5,11,.455,1,4,.250,0,0,,3,6,9,0,2,1,5,3,11,5.7,+2
49,41,2023-01-25,25-124,ATL,@,OKC,W (+5),1,30:10,7,12,.583,1,3,.333,4,4,1.000,4,6,10,2,0,0,1,4,19,16.8,-7
50,42,2023-01-28,25-127,ATL,,LAC,L (-7),1,33:47,7,13,.538,1,3,.333,1,2,.500,1,4,5,0,1,0,0,3,16,11.0,-9
51,43,2023-01-30,25-129,ATL,@,POR,L (-4),1,37:49,7,12,.583,0,2,.000,2,6,.333,2,4,6,3,0,0,0,5,16,11.5,-1
52,44,2023-02-01,25-131,ATL,@,PHO,W (+32),1,24:16,4,8,.500,1,4,.250,0,0,,0,2,2,0,0,3,1,3,9,5.5,+21
53,45,2023-02-03,25-133,ATL,@,UTA,W (+7),1,28:00,3,10,.300,1,7,.143,3,3,1.000,2,2,4,1,1,1,0,1,10,8.2,+1
54,46,2023-02-04,25-134,ATL,@,DEN,L (-20),1,30:11,3,5,.600,0,0,,0,0,,1,3,4,3,0,1,0,2,6,7.3,-18
55,47,2023-02-07,25-137,ATL,@,NOP,L (-9),1,30:03,6,9,.667,1,2,.500,2,2,1.000,1,5,6,1,0,2,0,3,15,14.2,-14
56,48,2023-02-09,25-139,ATL,,PHO,W (+9),1,31:27,6,12,.500,0,2,.000,4,4,1.000,0,2,2,0,1,0,0,1,16,11.2,+6
57,49,2023-02-11,25-141,ATL,,SAS,W (+19),1,31:07,6,14,.429,1,4,.250,4,4,1.000,0,3,3,2,2,2,0,4,17,13.7,+26
58,,2023-02-13,25-143,ATL,@,CHO,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,50,2023-02-15,25-145,ATL,,NYK,L (-21),1,21:49,2,8,.250,0,3,.000,4,4,1.000,0,2,2,0,0,1,0,2,8,3.7,-18
60,,2023-02-24,25-154,ATL,,CLE,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,51,2023-02-26,25-156,ATL,,BRK,W (+2),1,25:46,5,8,.625,2,3,.667,0,0,,1,3,4,0,0,0,3,1,12,6.6,-16
62,52,2023-02-28,25-158,ATL,,WAS,L (-3),1,26:16,3,6,.500,0,2,.000,4,4,1.000,1,3,4,0,0,0,1,0,10,7.6,+2
63,53,2023-03-03,25-161,ATL,,POR,W (+18),1,23:14,3,4,.750,0,1,.000,0,0,,0,3,3,0,0,1,1,3,6,3.8,-4
64,54,2023-03-04,25-162,ATL,@,MIA,L (-8),1,16:13,1,4,.250,0,2,.000,1,2,.500,0,1,1,0,0,0,1,4,3,-2.1,-13
65,55,2023-03-06,25-164,ATL,@,MIA,L (-2),1,20:02,7,11,.636,1,4,.250,2,2,1.000,0,1,1,2,0,0,0,4,17,12.2,+12
66,56,2023-03-08,25-166,ATL,@,WAS,W (+2),1,29:13,5,9,.556,4,7,.571,0,0,,0,5,5,0,1,1,2,2,14,10.1,-6
67,57,2023-03-10,25-168,ATL,@,WAS,W (+7),1,27:46,3,7,.429,0,3,.000,1,1,1.000,2,2,4,3,2,1,1,3,7,7.9,-7
68,58,2023-03-11,25-169,ATL,,BOS,L (-9),1,29:37,5,13,.385,0,3,.000,1,1,1.000,0,9,9,1,0,1,1,4,11,5.4,+1
69,59,2023-03-13,25-171,ATL,,MIN,L (-21),1,27:14,2,6,.333,0,2,.000,2,2,1.000,1,4,5,2,0,0,1,3,6,3.7,-21
70,60,2023-03-17,25-175,ATL,,GSW,W (+8),1,28:47,8,15,.533,4,7,.571,2,2,1.000,1,4,5,0,1,1,1,4,22,15.7,+2
71,61,2023-03-19,25-177,ATL,@,SAS,L (-8),1,27:53,6,12,.500,1,4,.250,1,1,1.000,3,3,6,2,0,0,0,2,14,11.6,-6
72,62,2023-03-21,25-179,ATL,,DET,W (+22),1,26:41,5,10,.500,2,5,.400,3,4,.750,2,6,8,1,1,1,1,0,15,14.2,+16
73,63,2023-03-22,25-180,ATL,@,MIN,L (-1),1,32:34,7,9,.778,1,2,.500,1,1,1.000,1,4,5,2,0,0,1,5,16,12.8,-3
74,64,2023-03-25,25-183,ATL,,IND,W (+13),1,31:32,9,12,.750,2,4,.500,1,2,.500,0,2,2,3,1,2,0,3,21,19.7,-3
75,65,2023-03-26,25-184,ATL,,MEM,L (-4),1,29:46,4,11,.364,0,1,.000,1,2,.500,2,8,10,1,0,0,1,4,9,4.4,+1
76,66,2023-03-28,25-186,ATL,,CLE,W (+2),1,29:16,4,9,.444,3,4,.750,1,2,.500,2,5,7,2,0,0,1,1,12,9.8,-12
77,67,2023-03-31,25-189,ATL,@,BRK,L (-17),1,27:40,2,10,.200,0,6,.000,1,2,.500,1,1,2,1,0,0,2,1,5,-2.3,-24
78,68,2023-04-02,25-191,ATL,,DAL,W (+2),1,33:37,5,10,.500,4,6,.667,4,8,.500,3,7,10,1,2,0,0,2,18,17.5,+6
79,69,2023-04-04,25-193,ATL,@,CHI,W (+18),1,23:46,3,9,.333,0,2,.000,3,3,1.000,1,5,6,2,0,2,0,2,9,8.1,+11
80,70,2023-04-05,25-194,ATL,,WAS,W (+18),1,25:35,6,8,.750,3,4,.750,8,8,1.000,0,3,3,0,0,0,0,4,23,19.1,+12
81,71,2023-04-07,25-196,ATL,,PHI,L (-5),1,32:16,7,12,.583,3,7,.429,2,3,.667,0,8,8,0,0,1,2,4,19,12.5,-14
82,,2023-04-09,25-198,ATL,@,BOS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
